"","...1","species","longitude","latitude","genus","state","province","locality","elevation.in.m","principal.collector","determinator","herbarium","collection.code","picture.code.link","note","original.name","x","link2","gbifid","link","datasetkey","countrycode","stateprovince","elevation","basisofrecord","institutioncode","collectioncode","catalognumber","recordnumber","identifiedby","recordedby","tae","region","location","elevation2","main.collector","note1","note2","x.1","scientificname","typestatus","altitude.in.m","determined.by","verbatimscientificname","x.2","occurrenceid","kingdom","phylum","class","order","family","infraspecificepithet","taxonrank","verbatimscientificnameauthorship","occurrencestatus","individualcount","publishingorgkey","coordinateuncertaintyinmeters","coordinateprecision","elevationaccuracy","depth","depthaccuracy","eventdate","day","month","year","taxonkey","specieskey","dateidentified","license","rightsholder","establishmentmeans","lastinterpreted","mediatype","issue","cataloguenumber.colectioncode","note.1"
"11",11,"burkartii",-73.667222,-11.658333,"Senecio","PER","Junin","Cordillera Vilcabamba","3350","B Boyle","M O Dillon","FD","4161","https://fm-digital-assets.fieldmuseum.org/974/815/ASTE_sene_hygr_2183918.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,"burkartii",-75.45,-10.38333,"Senecio","PER","Pasco, Oxapampa","Trail to summit of Cordillera Yanachaga via Río San Daniel. High montane dwarf forest - meadow mosaic","3150-3300","David N. Smith","M O Dillon","MO","7700","http://legacy.tropicos.org/Specimen/588644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,"burkartii",-75.666667,-10.333333,"Senecio","PER","Pasco","Oxapampa","3300-3500","R B Foster","M O Dillon","FD","10391","https://fm-digital-assets.fieldmuseum.org/182/699/ASTE_sene_burk_1958888.jpg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"burkartii",-77.5808333,-6.2425,"Senecio","PER","Amazonas","along road to Rodrigez de Mendoza","2570","van der Werff","Luciana Salomon","FMNH","25522","IMG_1151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,"burkartii",-79.31101,-6.152168,"Senecio","PER","Incahuasi","Laguna tembladera","3100","Skillman","M O Dillon","FMNH","12777","IMG_1152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,"burkartii",-79.24583,-5.68111,"Senecio","PER","Cajamarca","Sallique. Localidad El Páramo. Pajonal de Puna.","3300","José Campos de la Cruz & et al.","Harold Robinson","MO","5092","http://legacy.tropicos.org/Specimen/1552273",NA,"Senecio burkatii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,"burkartii",-76.805556,-9.206389,"Senecio","PER","Ancash","NE of Torota lake","4126","Montesinos","Salomon","Mus.Bot.Berol.","5543","IMG_5579",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,"campanulatus",-64.75,-17.8166667,"Senecio","BOL","Santa Cruz","prov. Caballero, 2-3 km S de Siberia","3000","Saldias & Fernandez 4620","PS Nov. 2000","NY!","PS_5",NA,NA,"Lasiocephaluscampanulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,"campanulatus",-67.2833333,-16.8,"Senecio","BOL","La Paz","prov. Inquisivi","3200-3300","Lewis 38671","JC at US, Robinson 1992 at MO","US!; MO!","PS_4",NA,NA,"Lasiocephaluscampanulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,"campanulatus",-67.9166667,-16.3,"Senecio","BOL","La Paz","prov. Sud Yungas, 1.4 km w of Unduavi","3400","Solomon 15383","JC at US; Robinson at NY","US!; NY!","PS_6",NA,NA,"Lasiocephaluscampanulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"campanulatus",-72.05,-13.35,"Senecio","PER","Cuzco","prov. Urubamba, entre quebrada de Huayaccari y las lagunas de Yanacocha y Kellscocha","3400-4200","Tupayachi 1041","Galiano 1989","MO!","PS_13",NA,NA,"Lasiocephaluscampanulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"campanulatus",-77.3333333,-9.7333333,"Senecio","PER","Ancash","Recuay, Huascaran NP","3950-4080","Smith & Buddensiek 11069","Dillon & Smith","F!; MO!","PS_9",NA,NA,"Lasiocephaluscampanulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"campanulatus",-77.4886667,-9.7219167,"Senecio","PER","Ancash, Recuay","Aija","3890-4150","A Cano","Determined by Luciana","Herbario San Marcos, Lima, Peru","11547",NA,NA,"Senecio campanulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,"campanulatus",-77.4,-9.5,"Senecio","PER","Ancash","prov. Huaraz, Huascaran NP","3700-4000","Smith et al. 10722","Smith & Dillon 1987 at MO, confirmed by ?Robinson","US!; MO!","PS_11",NA,NA,"Lasiocephaluscampanulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"campanulatus",-77.4666667,-9.3833333,"Senecio","PER","Ancash","prov. Carhuaz, Huscaran N.P.","3900-4000","Smith et al. 11262","?Robinson","MO!","PS_12",NA,NA,"Lasiocephaluscampanulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,"campanulatus",-77.46666,-9.38333,"Senecio","PER","Ancash, Carhuaz","Huascarán National Park. Quebrada Ishinca, north side of valley. Polylepis weberbauerii woods; steep, SSE-facing slopes.","3900-4000","David N. Smith & Marianne Buddensiek","Harold Robinson","MO","11262","http://legacy.tropicos.org/Specimen/578790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"campanulatus",-77.4637778,-9.1621389,"Senecio","PER","Ancash, Asuncion","Pompey","3850","A Cano","Determined by Luciana","Herbario San Marcos, Lima, Peru","14657",NA,NA,"Senecio campanulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"campanulatus",-77.65,-9.0833333,"Senecio","PER","Ancash","prov. Yungay, Huascaran NP","3700-3850","Smith 10555","Smith & Dillon","US!; MO!","PS_10",NA,NA,"Lasiocephaluscampanulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,"campanulatus",-77.5833333,-9.0333333,"Senecio","PER","Ancash","Yungay-Yauya road, vicinity of Lagunas Llanganuco","3480","Gentry et al. 37367","Dillon & Smith 1987","NY!","PS_8",NA,NA,"Lasiocephaluscampanulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,"campanulatus",-77.58333,-9.03333,"Senecio","PER","Ancash","Yungay-Yauya road, vicinity of Lagunas Llanganuco, Polylepis forest.","3480","Alwyn H. Gentry & et al.","M. Dillon","MO","37367","http://legacy.tropicos.org/Specimen/1538160",NA,"Senecio campanulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,"campanulatus",-77.05,-9.0166667,"Senecio","PER","Ancash","Huaylas, Huascaran NP","3500-3760",NA,"Dillon & Smith","F!; MO!","PS_14",NA,NA,"Lasiocephaluscampanulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,"campanulatus",-77.5666667,-8.9833333,"Senecio","PER","Ancash, Yungay","Huascarán National Park. Quebrada Ranincuray. Grasslands, mostly on steep slopes; heavily overgrazed.","4100-4200","David N. Smith, René Valencia & Alfredo Gonzales","Harold Robinson","MO","10427","http://legacy.tropicos.org/Specimen/581941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,"campanulatus",-77.71666,-8.95,"Senecio","PER","Ancash, Huaylas","Huascarán National Park. Quebrada Santa Cruz between Lago Santa Cruz Chico and Cashapampa exit. Relatively arid shrublands.","3350 - 3870","David N. Smith, L. Sánchez & H. Vidaurre","M O Dillon","MO","9326","http://legacy.tropicos.org/Specimen/582357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,"campanulatus",-77.3116667,-8.16,"Senecio","PER","Huaylillas","Cerro la estrella","3700","A Sagastegui","Determined by Luciana","HAO","17017",NA,NA,"Senecio campanulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,"campanulatus",-79.03333,-7.35,"Senecio","PER","Cajamarca","Ventarrón (Trinidad - Totorillas)","3000","Abundio Sagástegui A. & et al.","Harold Robinson","MO","8979","http://legacy.tropicos.org/Specimen/585012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,"campanulatus",-78.2333333,-7.0333333,"Senecio","PER","Cajamarca","Cajamarca-Celendin road. Brushfield dominated by Helianthus; massive rock outcrops; NW-facing, steep slopes.","3450","David N. Smith & Isidoro M. Sánchez V.","Harold Robinson","MO","4279","http://legacy.tropicos.org/Specimen/586775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,"campanulatus",-77.6666667,-6.1666667,"Senecio","PER","Amazonas","1-4 km E of Molinopampa","2400-2460","Luteyn & Cotton 11428","Robinson 1986 at NY","US!; NY!","PS_42",NA,NA,"Lasiocephalusloesneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,"candollei",-66.337347,-22.947418,"Senecio","ARG","Jujuy","Susques Coranzul?D>22","4506","L󰥺, V. L.",NA,"Darwinion","148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,"candollei",-65.3852778,-23.0725,"Senecio","ARG","Jujuy","Humahuaca Mina Aguilar, Toma de agua de la veta.","4900","Ruthsatz, B.","-","Darwinion","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,"candollei",-66.4469444,-22.5911111,"Senecio","ARG","Jujuy","Rinconada Mina Pirquitas",NA,"Schwabe, H.","-","Darwinion","747",NA,"Atlas de la Rep. Argentina. 1 parte Pol?ca. 3 ed. 1979. Inst. Geog. Militar Argentino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,"candollei",-65.5905556,-22.2797222,"Senecio","ARG","Jujuy","Yavi Abra de Lizoite",NA,"Fabris, H. A.","-","Darwinion","7770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,"candollei",-68.1416667,-16.36,"Senecio","BOL","La Paz","Chacaltaya, southern side, along the road to the summit","4915","Petr Sklenar","Petr Sklenar",NA,"15150",NA,"from Petr's tables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,"candollei",-68.0252778,-16.315,"Senecio","BOL","La Paz","Road La Paz-Coroico, about 3 km NE from the Cumbre pass","4320","Petr Sklenar","Petr Sklenar",NA,"15273",NA,"from Petr's tables",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
